id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
0,nashville,1949,bmw,excellent,6 cylinders,gas,115148,clean,manual,rwd,mid-size,convertible,orange,,27587
1,state college,2013,toyota,fair,8 cylinders,gas,172038,clean,automatic,rwd,full-size,sedan,silver,pa,4724
2,wichita,1998,ford,good,6 cylinders,gas,152492,clean,automatic,fwd,full-size,SUV,silver,ks,10931
3,albany,2014,ford,excellent,4 cylinders,gas,104118,clean,manual,fwd,mid-size,SUV,blue,ny,16553
4,redding,2005,ford,excellent,6 cylinders,gas,144554,clean,manual,fwd,mid-size,sedan,red,ca,5158
5,florence / muscle shoals,2013,nissan,good,4 cylinders,gas,133208,clean,automatic,4wd,full-size,SUV,black,al,7941
6,oregon coast,2014,volkswagen,excellent,6 cylinders,gas,131104,clean,automatic,fwd,mid-size,sedan,blue,or,5860
7,medford-ashland,2006,bmw,good,6 cylinders,gas,158776,clean,manual,fwd,mid-size,coupe,red,or,2799
8,richmond,2013,bmw,excellent,6 cylinders,gas,127167,clean,manual,fwd,full-size,sedan,black,va,6036
9,buffalo,2012,volkswagen,good,4 cylinders,gas,150319,rebuilt,automatic,fwd,mid-size,sedan,orange,ny,7341
10,billings,2011,bmw,excellent,6 cylinders,,101850,clean,manual,4wd,full-size,SUV,black,mt,10880
11,bakersfield,2010,ford,excellent,6 cylinders,gas,95511,rebuilt,automatic,fwd,mid-size,sedan,blue,ca,5757
12,central NJ,2018,FORD,excellent,4 cylinders,gas,55662,rebuilt,automatic,fwd,mid-size,coupe,silver,nj,11039
13,albany,2010,lexus,excellent,6 cylinders,gas,81936,,automatic,fwd,mid-size,,white,ny,8760
14,worcester / central MA,2005,ford,excellent,6 cylinders,gas,107934,clean,automatic,fwd,mid-size,SUV,black,ma,17244
15,eau claire,1999,nissan,excellent,6 cylinders,gas,54481,parts only,automatic,4wd,full-size,mini-van,black,wi,3389
16,wichita,2006,buick,excellent,other,gas,152762,clean,automatic,fwd,full-size,sedan,silver,ks,3963
17,greenville / upstate,2012,ford,like new,4 cylinders,,129491,clean,automatic,4wd,full-size,SUV,black,sc,36783
18,yakima,1995,volkswagen,fair,6 cylinders,,193124,clean,automatic,fwd,mid-size,sedan,white,wa,3289
19,wichita,2013,subaru,excellent,4 cylinders,gas,124912,clean,manual,4wd,mid-size,SUV,silver,ks,27556
20,"washington, DC",1996,ram,fair,8 cylinders,gas,177974,clean,automatic,4wd,full-size,pickup,red,dc,4688
21,palm springs,2008,ford,good,4 cylinders,gas,162412,clean,manual,fwd,mid-size,sedan,red,ca,3907
22,cincinnati,2014,ford,excellent,6 cylinders,gas,83288,clean,automatic,fwd,full-size,SUV,white,oh,20237
23,rockford,2016,ford,excellent,6 cylinders,diesel,147583,rebuilt,manual,4wd,full-size,pickup,white,,37763
24,rochester,2015,FORD,like new,4 cylinders,gas,161608,clean,automatic,fwd,full-size,SUV,red,ny,7271
25,lancaster,2012,bmw,excellent,6 cylinders,gas,155568,clean,automatic,4wd,mid-size,SUV,blue,pa,11945
26,redding,2012,TOYOTA,excellent,4 cylinders,gas,130992,clean,manual,fwd,mid-size,sedan,black,ca,9235
27,fort wayne,2012,dodge,like new,4 cylinders,gas,9309,rebuilt,automatic,fwd,mid-size,sedan,white,in,15940
28,toledo,2007,dodge,excellent,6 cylinders,gas,158633,clean,automatic,4wd,full-size,truck,black,oh,16337
29,wilmington,2005,FORD,excellent,8 cylinders,gas,209759,clean,automatic,rwd,full-size,truck,black,de,7264
30,"washington, DC",2016,ford,good,4 cylinders,gas,88187,clean,automatic,fwd,sub-compact,coupe,blue,dc,31696
31,huntsville / decatur,2006,ｂｍｗ,excellent,6 cylinders,gas,104876,clean,automatic,rwd,mid-size,sedan,black,al,14750
32,wilmington,2003,toyota,fair,4 cylinders,gas,150511,clean,automatic,fwd,full-size,sedan,red,de,1406
